Date,Série,Exercice,Performance,Variante,Élastique,Tension,Forme,Temps Pondéré,Catégorie,Unité
18/10/2025,Serie 3,Planche / pike lean,22,Half_Lay,Bleu,Ecarté,High,150.12,Force isométrique,Secondes
18/10/2025,Serie 4,Planche / pike lean,24,Half_Lay,Bleu,Ecarté,High,163.76,Force isométrique,Secondes
18/10/2025,Serie 5,Planche / pike lean,21,Half_Lay,Bleu,Ecarté,High,143.29,Force isométrique,Secondes
20/10/2025,Serie 1,Planche / pike lean,20,Half_Lay,Bleu,Ecarté,High,136.47,Force isométrique,Secondes
20/10/2025,Serie 1,Tuck planche raises,5,Half_Lay,Bleu,Ecarté,High,34.12,Force isométrique,Secondes
20/10/2025,Serie 2,Planche / pike lean,20,Half_Lay,Bleu,Ecarté,High,136.47,Force isométrique,Secondes
20/10/2025,Serie 2,Tuck planche raises,5,Half_Lay,Bleu,Ecarté,High,34.12,Force isométrique,Secondes
20/10/2025,Serie 3,Planche / pike lean,21,Half_Lay,Bleu,Ecarté,High,143.29,Force isométrique,Secondes
20/10/2025,Serie 4,Planche / pike lean,20,Half_Lay,Bleu,Ecarté,High,136.47,Force isométrique,Secondes
20/10/2025,Serie 5,Planche / pike lean,20,Half_Lay,Bleu,Ecarté,High,136.47,Force isométrique,Secondes
22/10/2025,Serie 1,Planche / pike lean,18,Half_Lay,Bleu,Ecarté,High,122.82,Force isométrique,Secondes
22/10/2025,Serie 2,Planche / pike lean,20,Half_Lay,Bleu,Ecarté,High,136.47,Force isométrique,Secondes
22/10/2025,Serie 3,Planche / pike lean,21,Half_Lay,Bleu,Ecarté,High,143.29,Force isométrique,Secondes
22/10/2025,Serie 4,Planche / pike lean,23,Half_Lay,Bleu,Ecarté,High,156.94,Force isométrique,Secondes
22/10/2025,Serie 5,Planche / pike lean,19,Half_Lay,Bleu,Ecarté,High,129.65,Force isométrique,Secondes
24/10/2025,Serie 1,Planche / pike lean,23,Half_Lay,Bleu,Ecarté,High,156.94,Force isométrique,Secondes
24/10/2025,Serie 2,Planche / pike lean,24,Half_Lay,Bleu,Ecarté,High,163.76,Force isométrique,Secondes
24/10/2025,Serie 3,Planche / pike lean,21,Half_Lay,Bleu,Ecarté,High,143.29,Force isométrique,Secondes
24/10/2025,Serie 4,Planche / pike lean,23,Half_Lay,Bleu,Ecarté,High,156.94,Force isométrique,Secondes
24/10/2025,Serie 5,Planche / pike lean,23,Half_Lay,Bleu,Ecarté,High,156.94,Force isométrique,Secondes
25/10/2025,Serie 1,Planche / pike lean,23,Half_Lay,Bleu,Ecarté,High,156.94,Force isométrique,Secondes
25/10/2025,Serie 2,Planche / pike lean,21,Half_Lay,Bleu,Ecarté,High,143.29,Force isométrique,Secondes
25/10/2025,Serie 3,Planche / pike lean,19,Half_Lay,Bleu,Ecarté,High,129.65,Force isométrique,Secondes
25/10/2025,Serie 4,Planche / pike lean,22,Half_Lay,Bleu,Ecarté,High,150.12,Force isométrique,Secondes
25/10/2025,Serie 5,Planche / pike lean,21,Half_Lay,Bleu,Ecarté,High,143.29,Force isométrique,Secondes
26/10/2025,Serie 1,Planche / pike lean,17,Half_Lay,Bleu,Ecarté,High,116.00,Force isométrique,Secondes
26/10/2025,Serie 2,Planche / pike lean,20,Half_Lay,Bleu,Ecarté,High,136.47,Force isométrique,Secondes
26/10/2025,Serie 3,Planche / pike lean,20,Half_Lay,Bleu,Ecarté,High,136.47,Force isométrique,Secondes
26/10/2025,Serie 4,Planche / pike lean,19,Half_Lay,Bleu,Ecarté,High,129.65,Force isométrique,Secondes
26/10/2025,Serie 5,Planche / pike lean,18,Half_Lay,Bleu,Ecarté,High,122.82,Force isométrique,Secondes
29/10/2025,Serie 1,Planche / pike lean,21,Half_Lay,Jaune,High,High,127.59,Force isométrique,Secondes
29/10/2025,Serie 1,Tuck planche raises,5,Half_Lay,Jaune,High,High,30.38,Force isométrique,Secondes
29/10/2025,Serie 2,Planche / pike lean,23,Half_Lay,Jaune,High,High,139.74,Force isométrique,Secondes
29/10/2025,Serie 2,Tuck planche raises,4,Half_Lay,Jaune,High,High,24.30,Force isométrique,Secondes
29/10/2025,Serie 3,Planche / pike lean,24,Half_Lay,Jaune,High,High,145.82,Force isométrique,Secondes
29/10/2025,Serie 3,Tuck planche raises,6,Half_Lay,Jaune,High,High,36.45,Force isométrique,Secondes
29/10/2025,Serie 4,Planche / pike lean,20,Half_Lay,Jaune,High,High,121.52,Force isométrique,Secondes
30/10/2025,Serie 1,Planche / pike lean,19,Half_Lay,Bleu,Ecarté,High,129.65,Force isométrique,Secondes
30/10/2025,Serie 1,Tuck planche raises,5,Half_Lay,Bleu,Ecarté,High,34.12,Force isométrique,Secondes
30/10/2025,Serie 2,Planche / pike lean,17,Half_Lay,Bleu,Ecarté,High,116.00,Force isométrique,Secondes
30/10/2025,Serie 2,Tuck planche raises,5,Half_Lay,Bleu,Ecarté,High,34.12,Force isométrique,Secondes
30/10/2025,Serie 3,Planche / pike lean,16,Half_Lay,Bleu,Ecarté,High,109.18,Force isométrique,Secondes
30/10/2025,Serie 3,Tuck planche raises,5,Half_Lay,Bleu,Ecarté,High,34.12,Force isométrique,Secondes
30/10/2025,Serie 4,Planche / pike lean,17,Half_Lay,Bleu,Ecarté,High,116.00,Force isométrique,Secondes
30/10/2025,Serie 5,Planche / pike lean,16,Half_Lay,Bleu,Ecarté,High,109.18,Force isométrique,Secondes
01/11/2025,Serie 1,Planche / pike lean,12,Maltese,Jaune,High,High,92.76,Force isométrique,Secondes
01/11/2025,Serie 2,Planche / pike lean,13,Maltese,Jaune,High,High,100.49,Force isométrique,Secondes
01/11/2025,Serie 3,Planche / pike lean,17,Maltese,Jaune,High,High,131.41,Force isométrique,Secondes
01/11/2025,Serie 4,Planche / pike lean,15,Maltese,Jaune,High,High,115.95,Force isométrique,Secondes
01/11/2025,Serie 5,Planche / pike lean,14,Maltese,Jaune,High,High,108.22,Force isométrique,Secondes
05/11/2025,Serie 1,Planche / pike lean,12,Maltese,Bleu,Ecarté,High,104.18,Force isométrique,Secondes
05/11/2025,Serie 2,Planche / pike lean,13,Maltese,Bleu,Ecarté,High,112.86,Force isométrique,Secondes
05/11/2025,Serie 3,Planche / pike lean,16,Maltese,Bleu,Ecarté,High,138.90,Force isométrique,Secondes
05/11/2025,Serie 4,Planche / pike lean,15,Maltese,Bleu,Ecarté,High,130.22,Force isométrique,Secondes
05/11/2025,Serie 5,Planche / pike lean,13,Maltese,Bleu,Ecarté,High,112.86,Force isométrique,Secondes
07/11/2025,Serie 1,Planche / pike lean,22,Maltese,Bleu,Ecarté,High,190.99,Force isométrique,Secondes
07/11/2025,Serie 2,Planche / pike lean,18,Full,Bleu,Ecarté,High,139.38,Force isométrique,Secondes
07/11/2025,Serie 3,Planche / pike lean,18,Full,Bleu,Ecarté,High,139.38,Force isométrique,Secondes
07/11/2025,Serie 4,Planche / pike lean,20,Half_Lay,Bleu,Ecarté,High,136.47,Force isométrique,Secondes
07/11/2025,Serie 5,Planche / pike lean,20,Half_Lay,Bleu,Ecarté,High,136.47,Force isométrique,Secondes
08/11/2025,Serie 1,Planche / pike lean,16,Diamond,Bleu,Ecarté,High,53.93,Force isométrique,Secondes
08/11/2025,Serie 1,Tuck planche raises,5,Diamond,Bleu,Ecarté,High,16.85,Force isométrique,Secondes
08/11/2025,Serie 2,Planche / pike lean,16,Diamond,Bleu,Ecarté,High,53.93,Force isométrique,Secondes
08/11/2025,Serie 3,Planche / pike lean,17,Diamond,Bleu,Ecarté,High,57.30,Force isométrique,Secondes
08/11/2025,Serie 4,Planche / pike lean,14,Diamond,Bleu,Ecarté,High,47.19,Force isométrique,Secondes
08/11/2025,Serie 5,Planche / pike lean,18,Diamond,Bleu,Ecarté,High,60.67,Force isométrique,Secondes
11/11/2025,Serie 1,Planche / pike lean,15,Half_Lay,Bleu,Ecarté,High,102.35,Force isométrique,Secondes
11/11/2025,Serie 2,Planche / pike lean,21,Half_Lay,Bleu,Ecarté,High,143.29,Force isométrique,Secondes
11/11/2025,Serie 3,Planche / pike lean,24,Half_Lay,Bleu,Ecarté,High,163.76,Force isométrique,Secondes
11/11/2025,Serie 4,Planche / pike lean,18,Half_Lay,Bleu,Ecarté,High,122.82,Force isométrique,Secondes
11/11/2025,Serie 5,Planche / pike lean,17,Half_Lay,Bleu,Ecarté,High,116.00,Force isométrique,Secondes
14/11/2025,Serie 1,Planche / pike lean,17,Half_Lay,Bleu,Ecarté,High,116.00,Force isométrique,Secondes
14/11/2025,Serie 2,Planche / pike lean,17,Half_Lay,Bleu,Ecarté,High,116.00,Force isométrique,Secondes
14/11/2025,Serie 3,Planche / pike lean,18,Half_Lay,Bleu,Ecarté,High,122.82,Force isométrique,Secondes
14/11/2025,Serie 4,Planche / pike lean,19,Half_Lay,Bleu,Ecarté,High,129.65,Force isométrique,Secondes
14/11/2025,Serie 5,Planche / pike lean,20,Half_Lay,Bleu,Ecarté,High,136.47,Force isométrique,Secondes
15/11/2025,Serie 1,Planche / pike lean,17,Full,Bleu,Ecarté,High,131.63,Force isométrique,Secondes
15/11/2025,Serie 1,Tuck planche raises,5,Full,Bleu,Ecarté,High,38.72,Force isométrique,Secondes
15/11/2025,Serie 2,Planche / pike lean,15,Full,Bleu,Ecarté,High,116.15,Force isométrique,Secondes
15/11/2025,Serie 3,Planche / pike lean,16,Full,Bleu,Ecarté,High,123.89,Force isométrique,Secondes
15/11/2025,Serie 4,Planche / pike lean,15,Full,Bleu,Ecarté,High,116.15,Force isométrique,Secondes
15/11/2025,Serie 5,Planche / pike lean,21,Full,Bleu,Ecarté,High,162.60,Force isométrique,Secondes
19/11/2025,Serie 1,Planche / pike lean,19,Half_Lay,Bleu,Ecarté,High,129.65,Force isométrique,Secondes
19/11/2025,Serie 2,Planche / pike lean,15,Half_Lay,Bleu,Ecarté,High,102.35,Force isométrique,Secondes
19/11/2025,Serie 3,Planche / pike lean,16,Half_Lay,Bleu,Ecarté,High,109.18,Force isométrique,Secondes
19/11/2025,Serie 4,Planche / pike lean,16,Half_Lay,Bleu,Ecarté,High,109.18,Force isométrique,Secondes
19/11/2025,Serie 5,Planche / pike lean,15,Half_Lay,Bleu,Ecarté,High,102.35,Force isométrique,Secondes
21/11/2025,Serie 1,Planche / pike lean,16,Half_Lay,Bleu,Ecarté,High,109.18,Force isométrique,Secondes
21/11/2025,Serie 2,Planche / pike lean,10,Half_Lay,Bleu,Ecarté,Normal,102.18,Force isométrique,Secondes
21/11/2025,Serie 3,Planche / pike lean,11,Half_Lay,Bleu,Ecarté,Normal,112.40,Force isométrique,Secondes
21/11/2025,Serie 4,Planche / pike lean,17,Half_Lay,Bleu,Ecarté,High,116.00,Force isométrique,Secondes
21/11/2025,Serie 5,Planche / pike lean,15,Half_Lay,Bleu,Ecarté,Normal,153.27,Force isométrique,Secondes
22/11/2025,Serie 1,Planche / pike lean,13,Half_Lay,Bleu,Ecarté,High,88.71,Force isométrique,Secondes
22/11/2025,Serie 2,Planche / pike lean,19,Half_Lay,Bleu,Ecarté,High,129.65,Force isométrique,Secondes
22/11/2025,Serie 3,Planche / pike lean,21,Half_Lay,Bleu,Ecarté,Normal,214.57,Force isométrique,Secondes
22/11/2025,Serie 4,Planche / pike lean,20,Half_Lay,Bleu,Ecarté,Normal,204.36,Force isométrique,Secondes
26/11/2025,Serie 1,Planche / pike lean,13,Half_Lay,Bleu,Ecarté,Normal,132.83,Force isométrique,Secondes
26/11/2025,Serie 1,Tuck planche raises,5,Half_Lay,Bleu,Ecarté,Normal,51.09,Force isométrique,Secondes
26/11/2025,Serie 2,Planche / pike lean,14,Half_Lay,Bleu,Ecarté,Normal,143.05,Force isométrique,Secondes
26/11/2025,Serie 3,Planche / pike lean,12,Half_Lay,Bleu,Ecarté,Normal,122.61,Force isométrique,Secondes
26/11/2025,Serie 4,Planche / pike lean,17,Half_Lay,Bleu,Ecarté,Normal,173.70,Force isométrique,Secondes
26/11/2025,Serie 5,Planche / pike lean,17,Half_Lay,Bleu,Ecarté,Normal,173.70,Force isométrique,Secondes
28/11/2025,Serie 1,Planche / pike lean,17,Half_Lay,Bleu,Ecarté,Normal,173.70,Force isométrique,Secondes
